"n.tips","q.rate","s","total.discard"
50,0.1,1,462
100,0.1,1,535
200,0.1,1,487
500,0.1,1,604
50,0.5,1,18
100,0.5,1,7
200,0.5,1,3
500,0.5,1,0
50,1,1,0
100,1,1,0
200,1,1,0
500,1,1,0
50,2,1,0
100,2,1,0
200,2,1,0
500,2,1,0
50,0.1,2,434
100,0.1,2,459
200,0.1,2,544
500,0.1,2,545
50,0.5,2,6
100,0.5,2,10
200,0.5,2,0
500,0.5,2,0
50,1,2,0
100,1,2,0
200,1,2,0
500,1,2,0
50,2,2,0
100,2,2,0
200,2,2,0
500,2,2,0
50,0.1,3,325
100,0.1,3,332
200,0.1,3,455
500,0.1,3,402
50,0.5,3,11
100,0.5,3,1
200,0.5,3,2
500,0.5,3,0
50,1,3,1
100,1,3,0
200,1,3,0
500,1,3,0
50,2,3,0
100,2,3,0
200,2,3,0
500,2,3,0
50,0.1,5,267
100,0.1,5,255
200,0.1,5,224
500,0.1,5,255
50,0.5,5,3
100,0.5,5,1
200,0.5,5,1
500,0.5,5,0
50,1,5,0
100,1,5,0
200,1,5,0
500,1,5,0
50,2,5,0
100,2,5,0
200,2,5,0
500,2,5,0
50,0.1,10,116
100,0.1,10,106
200,0.1,10,113
500,0.1,10,102
50,0.5,10,1
100,0.5,10,1
200,0.5,10,0
500,0.5,10,0
50,1,10,0
100,1,10,0
200,1,10,0
500,1,10,0
50,2,10,0
100,2,10,0
200,2,10,0
500,2,10,0
