"n.tips","q.rate","s","direction","rep","n0","n1","n.true.trans","n.discard","T.obs.01","T.obs.10","p.anccond.01","p.anccond.10","p.upper.01","p.lower.01","p.upper.10","p.lower.10","p.phyloglm","p.pgls"
50,0.1,1,-1,1,14,36,3,1,NA,NA,NA,NA,NA,NA,NA,NA,0.999581775268076,0.617189293755988
50,0.1,1,1,2,3,47,3,2,NA,NA,NA,NA,NA,NA,NA,NA,0.830846874264286,0.162702587750624
50,0.1,1,-1,3,8,42,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0.997239958899651,0.890811425237654
50,0.1,1,-1,4,4,46,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.116793727000468,0.154064356953439
50,0.1,1,1,5,42,8,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.701189227255191,0.349299744619571
50,0.1,1,1,6,38,12,3,2,NA,NA,NA,NA,NA,NA,NA,NA,0.999765964214119,0.359846964890412
50,0.1,1,-1,7,12,38,3,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999534669321874,0.85866475769803
50,0.1,1,1,8,33,17,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999323750027741,0.515522466744835
50,0.1,1,-1,9,47,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999767227393019,0.672566790019841
50,0.1,1,-1,10,4,46,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999721116550265,0.564516140308263
50,0.1,1,1,11,8,42,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999363325179388,0.543443266684062
50,0.1,1,1,12,47,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,0.509400471407699,0.934035680871526
50,0.1,1,-1,13,6,44,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0.999967005245608,0.287582595655731
50,0.1,1,-1,14,46,4,3,0,NA,NA,NA,NA,NA,NA,NA,NA,0.992828577190029,0.65973139848708
50,0.1,1,-1,15,10,40,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.357140925884962,0.243767076449743
50,0.1,1,-1,16,46,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999690676352097,0.688649645873255
50,0.1,1,1,17,9,41,2,1,NA,NA,NA,NA,NA,NA,NA,NA,0.999729918689509,0.644771049813443
50,0.1,1,1,18,41,9,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999976067199241,0.557638478136644
50,0.1,1,-1,19,5,45,1,3,NA,NA,NA,NA,NA,NA,NA,NA,0.999948954783709,0.672670386925324
50,0.1,1,-1,20,44,6,5,1,NA,NA,NA,NA,NA,NA,NA,NA,0.277164381026506,0.0931843550960992
50,0.1,1,-1,21,44,6,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.991662961742578,0.561892642011562
50,0.1,1,1,22,40,10,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.996028758656524,0.423633272411169
50,0.1,1,-1,23,10,40,2,1,NA,NA,NA,NA,NA,NA,NA,NA,0.999237863738298,0.65950051680721
50,0.1,1,-1,24,34,16,3,0,NA,NA,NA,NA,NA,NA,NA,NA,0.99842976177641,0.934630935894659
50,0.1,1,1,25,17,33,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.00456686645505388,0.00476712650023454
50,0.1,1,-1,26,47,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0.67814984997435,0.369553741211194
50,0.1,1,-1,27,9,41,3,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999501813040185,0.636969436101637
50,0.1,1,-1,28,3,47,2,1,NA,NA,NA,NA,NA,NA,NA,NA,0.988435852902548,0.278603794382398
50,0.1,1,1,29,34,16,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0.999564083397389,0.301953448353383
50,0.1,1,1,30,42,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.999183493046906,0.186697910201245
50,0.1,1,1,31,41,9,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.999937621329846,0.69310554342008
50,0.1,1,1,32,37,13,1,3,NA,NA,NA,NA,NA,NA,NA,NA,0.999400194961299,0.654238424479446
50,0.1,1,-1,33,46,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,0.999849554356999,0.923884284888651
50,0.1,1,-1,34,4,46,3,1,NA,NA,NA,NA,NA,NA,NA,NA,0.999525905706711,0.745067756187272
50,0.1,1,1,35,47,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.714635146723259,0.704085018227068
50,0.1,1,-1,36,14,36,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0.999985618639844,0.79068249642847
50,0.1,1,-1,37,47,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0.999851871244271,0.668250404398897
